DATALOAD,IRV_MXCHRTOFACCTS,,EN
ACCOUNTNAME,ACTIVE,ACTIVEDATE,CHARTOFACCOUNTSID,EXPIREDATE,EXTERNALREFID,GLACCOUNT,GLCOMP01,GLCOMP02,GLCOMP03,ORGID,OWNERSYSID,SENDERSYSID
,,2014-06-23T14:00:00+00:00,,,,BBC001A-ADEVXF-21100,BBC001A,ADEVXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC001A-ADEVXF-25250,BBC001A,ADEVXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC001A-ADEVXV-21100,BBC001A,ADEVXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC001A-ADEVXV-25250,BBC001A,ADEVXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC001A-ASRMXF-21100,BBC001A,ASRMXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC001A-ASRMXF-25250,BBC001A,ASRMXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC001A-ASRMXV-21100,BBC001A,ASRMXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC001A-ASRMXV-25250,BBC001A,ASRMXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC001A-ASSVXF-21100,BBC001A,ASSVXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC001A-ASSVXF-25250,BBC001A,ASSVXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC001A-ASSVXV-21100,BBC001A,ASSVXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC001A-ASSVXV-25250,BBC001A,ASSVXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC001A-AVCWXF-21100,BBC001A,AVCWXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC001A-AVCWXF-25250,BBC001A,AVCWXF,25250,UK,,
