DATALOAD,IRV_LOCATIONS,Delete,EN
LOCATION,DESCRIPTION,PARENT,DESCRIPTION_LONGDESCRIPTION,IRV_ALSOKAS,IRVLOCLEVEL,GLACCOUNT,SADDRESSCODE,IRV_LOCCRITICAL,IRV_CUSTPRIORITY,PLUSPCOSTCENTER,CHILDREN,CALNUM,SHIFTNUM,DISABLED,HASCHILDREN,HASLD,HASPARENT,SITEID,STATUS,SYSTEMID,TYPE,USEINPOPR,IRV_ASBESTOSPRES,IRV_DESIGNTATEDOW,ISDEFAULT,ISREPAIRFACILITY,LANGCODE,ORGID,PLUSCLOOP,PLUSCPMEXTDATE,PLUSPCUSTOMER,AUTOWOGEN,BILLTOADDRESSCODE,BILLTOLABORCODE,CLASSSTRUCTUREID,SHIPTOADDRESSCODE,SHIPTOLABORCODE
1006575,Millbank-1st Floor-Break Out Area Staff Area,1006573,,,AREA,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006576,Millbank-1st Floor-Break Out Area Tea Point,1006573,,,AREA,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006577,Millbank-1st Floor-CAA Room,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006578,Millbank-1st Floor-CAA Ups Room,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006579,Millbank-1st Floor-Comms Room P4,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006580,Millbank-1st Floor-Comms Room P6,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006581,Millbank-1st Floor-CTA Room,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006582,Millbank-1st Floor-Corridor Outside CAA,1006573,,,AREA,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006583,Millbank-1st Floor-Corridor Exit Opposite Reception,1006573,,,AREA,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006584,Millbank-1st Floor-AHU Plant Room,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
