DATALOAD,IRV_ASSET,,EN
ASSETID,LOCATION,ASSETNUM,SADDRESSCODE,DESCRIPTION,DESCRIPTION_LONGDESCRIPTION,HASLD,ISRUNNING,INSTALLDATE,ASSETTYPE,MANUFACTURER,IRV_MODEL,IRV_LEGASSETREF,SERIALNUM,IRV_ASSETCOND,IRV_CRITICALITY,IRV_EXPECTLIFE,IRV_LEGBARCODE,IRV_LEGCOND,IRV_REPLACEQTY,IRV_SIZECAP,IRV_SURVEYDATE,IRV_UOM,PLUSPCUSTOMER,LANGCODE,CHANGEBY,ORGID,SITEID,STATUS,STATUSDATE,CHANGEDATE,ASSETUID
,1006573,2014-909217,BBCADD009,BMS OUTSTATION,BMS OUTSTATION,1,1,2014,FACILITIES,,,,,6,2,10,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006573,2014-909218,BBCADD009,CCTV CAMERAS,CCTV CAMERAS,1,1,1995,FACILITIES,,,,,4,2,15,,,2,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006573,2014-909219,BBCADD009,DISTRIBUTION PIPEWORK AND CONTROL VALVES,DISTRIBUTION PIPEWORK AND CONTROL VALVES - WATER,1,1,1990,FACILITIES,,,,,4,3,30,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006573,2014-909220,BBCADD009,EMERGENCY LIGHTING,EMERGENCY LIGHTING,1,1,2005,FACILITIES,,,,,5,2,5,,,78,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006573,2014-909221,BBCADD009,FAN COIL UNITS,FAN COIL UNITS,1,1,1995,FACILITIES,,,,,4,3,15,,,13,,2014-04-23T09:32:00+00:00,m/Hour,BBC,,,,GB,OPERATING,,,
,1006573,2014-909222,BBCADD009,FIRE BLANKETS,FIRE BLANKETS,1,1,2005,FACILITIES,,,,,5,2,10,,,3,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006573,2014-909223,BBCADD009,FIRE DAMPERS,FIRE DAMPERS,1,1,2014,FACILITIES,,,,,6,2,10,,,2,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006573,2014-909224,BBCADD009,FIRE EXTINGUISHERS (CO2),FIRE EXTINGUISHERS (CO2),1,1,2013,FACILITIES,,,,,5,2,8,,,12,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006573,2014-909225,BBCADD009,FIRE EXTINGUISHERS (WATER),FIRE EXTINGUISHERS (WATER),1,1,2013,FACILITIES,,,,,5,2,8,,,5,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006573,2014-909226,BBCADD009,GENERAL & TASK LIGHTING,GENERAL & TASK LIGHTING,1,1,1995,FACILITIES,,,,,5,3,20,,,365,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
