DATALOAD,IRV_PMSEQ,,EN
PMNUM,INTERVAL,JPNUM,ORGID,SITEID
BBC200001,1,BBCAHU05,UK,GB
BBC200001,3,BBCAHU06,UK,GB
BBC200001,6,BBCAHU07,UK,GB
BBC200001,12,BBCAHU08,UK,GB
BBC200002,1,BBCBGF01,UK,GB
BBC200002,2,BBCBGF02,UK,GB
BBC200003,1,BBCBGF01,UK,GB
BBC200003,2,BBCBGF02,UK,GB
BBC200004,1,BBCBGF01,UK,GB
BBC200004,2,BBCBGF02,UK,GB
BBC200005,1,BBCBGF01,UK,GB
BBC200005,2,BBCBGF02,UK,GB
BBC200006,1,BBCGSV01,UK,GB
BBC200006,4,BBCGSV02,UK,GB
BBC200007,1,BBCPAI01,UK,GB
BBC200007,2,BBCPAI02,UK,GB
BBC200008,1,BBCFAS01,UK,GB
BBC200008,6,BBCFAS02,UK,GB
BBC200008,12,BBCFAS03,UK,GB
BBC200008,60,BBCFAS04,UK,GB
BBC200009,1,BBCFAS01,UK,GB
BBC200009,6,BBCFAS02,UK,GB
BBC200009,12,BBCFAS03,UK,GB
BBC200009,60,BBCFAS04,UK,GB
BBC200010,1,BBCFAS01,UK,GB
BBC200010,6,BBCFAS02,UK,GB
BBC200010,12,BBCFAS03,UK,GB
BBC200010,60,BBCFAS04,UK,GB
BBC200012,1,BBCMTR01,UK,GB
BBC200013,1,BBCMTR01,UK,GB
BBC200014,1,BBCMTR01,UK,GB
BBC200015,1,BBCPDB01,UK,GB
BBC200015,2,BBCPDB02,UK,GB
BBC200015,4,BBCPDB03,UK,GB
BBC200015,20,BBCPDB04,UK,GB
BBC200016,1,BBCPDB01,UK,GB
BBC200016,2,BBCPDB02,UK,GB
BBC200016,4,BBCPDB03,UK,GB
BBC200016,20,BBCPDB04,UK,GB
BBC200017,1,BBCPDB01,UK,GB
BBC200017,2,BBCPDB02,UK,GB
BBC200017,4,BBCPDB03,UK,GB
BBC200017,20,BBCPDB04,UK,GB
BBC200018,1,BBCPDB01,UK,GB
BBC200018,2,BBCPDB02,UK,GB
BBC200018,4,BBCPDB03,UK,GB
BBC200018,20,BBCPDB04,UK,GB
BBC200019,1,BBCPDB01,UK,GB
BBC200019,2,BBCPDB02,UK,GB
BBC200019,4,BBCPDB03,UK,GB
BBC200019,20,BBCPDB04,UK,GB
BBC200020,1,BBCPDB01,UK,GB
BBC200020,2,BBCPDB02,UK,GB
BBC200020,4,BBCPDB03,UK,GB
BBC200020,20,BBCPDB04,UK,GB
BBC200021,1,BBCPDB01,UK,GB
BBC200021,2,BBCPDB02,UK,GB
BBC200021,4,BBCPDB03,UK,GB
BBC200021,20,BBCPDB04,UK,GB
BBC200022,1,BBCPDB01,UK,GB
BBC200022,2,BBCPDB02,UK,GB
BBC200022,4,BBCPDB03,UK,GB
BBC200022,20,BBCPDB04,UK,GB
BBC200023,1,BBCPDB01,UK,GB
BBC200023,2,BBCPDB02,UK,GB
BBC200023,4,BBCPDB03,UK,GB
BBC200023,20,BBCPDB04,UK,GB
BBC200024,1,BBCPDB01,UK,GB
BBC200024,2,BBCPDB02,UK,GB
BBC200024,4,BBCPDB03,UK,GB
BBC200024,20,BBCPDB04,UK,GB
BBC200025,1,BBCPDB01,UK,GB
BBC200025,2,BBCPDB02,UK,GB
BBC200025,4,BBCPDB03,UK,GB
BBC200025,20,BBCPDB04,UK,GB
BBC200026,1,BBCPDB01,UK,GB
BBC200026,2,BBCPDB02,UK,GB
BBC200026,4,BBCPDB03,UK,GB
BBC200026,20,BBCPDB04,UK,GB
BBC200027,1,BBCPDB01,UK,GB
BBC200027,2,BBCPDB02,UK,GB
BBC200027,4,BBCPDB03,UK,GB
BBC200027,20,BBCPDB04,UK,GB
BBC200028,1,BBCPDB01,UK,GB
BBC200028,2,BBCPDB02,UK,GB
BBC200028,4,BBCPDB03,UK,GB
BBC200028,20,BBCPDB04,UK,GB
BBC200029,1,BBCPDB01,UK,GB
BBC200029,2,BBCPDB02,UK,GB
BBC200029,4,BBCPDB03,UK,GB
BBC200029,20,BBCPDB04,UK,GB
BBC200030,1,BBCPDB01,UK,GB
BBC200030,2,BBCPDB02,UK,GB
BBC200030,4,BBCPDB03,UK,GB
BBC200030,20,BBCPDB04,UK,GB
BBC200031,1,BBCPDB01,UK,GB
BBC200031,2,BBCPDB02,UK,GB
BBC200031,4,BBCPDB03,UK,GB
BBC200031,20,BBCPDB04,UK,GB
BBC200032,1,BBCPDB01,UK,GB
BBC200032,2,BBCPDB02,UK,GB
BBC200032,4,BBCPDB03,UK,GB
BBC200032,20,BBCPDB04,UK,GB
BBC200033,1,BBCPDB01,UK,GB
BBC200033,2,BBCPDB02,UK,GB
BBC200033,4,BBCPDB03,UK,GB
BBC200033,20,BBCPDB04,UK,GB
BBC200034,1,BBCPDB01,UK,GB
BBC200034,2,BBCPDB02,UK,GB
BBC200034,4,BBCPDB03,UK,GB
BBC200034,20,BBCPDB04,UK,GB
BBC200035,1,BBCPDB01,UK,GB
BBC200035,2,BBCPDB02,UK,GB
BBC200035,4,BBCPDB03,UK,GB
BBC200035,20,BBCPDB04,UK,GB
BBC200036,1,BBCPDB01,UK,GB
BBC200036,2,BBCPDB02,UK,GB
BBC200036,4,BBCPDB03,UK,GB
BBC200036,20,BBCPDB04,UK,GB
BBC200037,1,BBCPDB01,UK,GB
BBC200037,2,BBCPDB02,UK,GB
BBC200037,4,BBCPDB03,UK,GB
BBC200037,20,BBCPDB04,UK,GB
BBC200038,1,BBCPDB01,UK,GB
BBC200038,2,BBCPDB02,UK,GB
BBC200038,4,BBCPDB03,UK,GB
BBC200038,20,BBCPDB04,UK,GB
BBC200039,1,BBCPDB01,UK,GB
BBC200039,2,BBCPDB02,UK,GB
BBC200039,4,BBCPDB03,UK,GB
BBC200039,20,BBCPDB04,UK,GB
