DATALOAD,IRV_PMSEQ,,EN
PMNUM,INTERVAL,JPNUM,ORGID,SITEID
BBC200316,1,BBCABC01,UK,GB
BBC200316,2,BBCABC02,UK,GB
BBC200316,6,BBCABC03,UK,GB
BBC200316,12,BBCABC04,UK,GB
BBC200316,24,BBCABC05,UK,GB
BBC200317,1,BBCABC01,UK,GB
BBC200317,2,BBCABC02,UK,GB
BBC200317,6,BBCABC03,UK,GB
BBC200317,12,BBCABC04,UK,GB
BBC200317,24,BBCABC05,UK,GB
BBC200318,1,BBCABC01,UK,GB
BBC200318,2,BBCABC02,UK,GB
BBC200318,6,BBCABC03,UK,GB
BBC200318,12,BBCABC04,UK,GB
BBC200318,24,BBCABC05,UK,GB
BBC200319,1,BBCABC01,UK,GB
BBC200319,2,BBCABC02,UK,GB
BBC200319,6,BBCABC03,UK,GB
BBC200319,12,BBCABC04,UK,GB
BBC200319,24,BBCABC05,UK,GB
BBC200320,1,BBCCAS01,UK,GB
BBC200321,1,BBCCAS01,UK,GB
BBC200322,1,BBCAHU05,UK,GB
BBC200322,3,BBCAHU06,UK,GB
BBC200322,6,BBCAHU07,UK,GB
BBC200322,12,BBCAHU08,UK,GB
BBC200323,1,BBCAHU05,UK,GB
BBC200323,3,BBCAHU06,UK,GB
BBC200323,6,BBCAHU07,UK,GB
BBC200323,12,BBCAHU08,UK,GB
BBC200324,1,BBCAHU05,UK,GB
BBC200324,3,BBCAHU06,UK,GB
BBC200324,6,BBCAHU07,UK,GB
BBC200324,12,BBCAHU08,UK,GB
BBC200325,1,BBCAHU05,UK,GB
BBC200325,3,BBCAHU06,UK,GB
BBC200325,6,BBCAHU07,UK,GB
BBC200325,12,BBCAHU08,UK,GB
BBC200326,1,BBCAHU05,UK,GB
BBC200326,3,BBCAHU06,UK,GB
BBC200326,6,BBCAHU07,UK,GB
BBC200326,12,BBCAHU08,UK,GB
BBC200327,1,BBCAHU05,UK,GB
BBC200327,3,BBCAHU06,UK,GB
BBC200327,6,BBCAHU07,UK,GB
BBC200327,12,BBCAHU08,UK,GB
BBC200328,1,BBCAHU05,UK,GB
BBC200328,3,BBCAHU06,UK,GB
BBC200328,6,BBCAHU07,UK,GB
BBC200328,12,BBCAHU08,UK,GB
BBC200329,1,BBCAIR01,UK,GB
BBC200329,3,BBCAIR02,UK,GB
BBC200329,6,BBCAIR03,UK,GB
BBC200329,12,BBCAIR04,UK,GB
BBC200330,1,BBCBGF01,UK,GB
BBC200330,2,BBCBGF02,UK,GB
BBC200331,1,BBCBGF01,UK,GB
BBC200331,2,BBCBGF02,UK,GB
BBC200332,1,BBCBGF01,UK,GB
BBC200332,2,BBCBGF02,UK,GB
BBC200333,1,BBCBGF01,UK,GB
BBC200333,2,BBCBGF02,UK,GB
BBC200334,1,BBCBGF01,UK,GB
BBC200334,2,BBCBGF02,UK,GB
BBC200335,1,BBCVAA01,UK,GB
BBC200336,1,BBCVAA01,UK,GB
BBC200337,1,BBCVAA01,UK,GB
BBC200338,1,BBCVAA01,UK,GB
BBC200339,1,BBCVAA01,UK,GB
BBC200340,1,BBCVAA01,UK,GB
BBC200341,1,BBCGSV01,UK,GB
BBC200341,4,BBCGSV02,UK,GB
BBC200342,1,BBCGSV01,UK,GB
BBC200342,4,BBCGSV02,UK,GB
BBC200343,1,BBCFAS01,UK,GB
BBC200343,6,BBCFAS02,UK,GB
BBC200343,12,BBCFAS03,UK,GB
BBC200343,60,BBCFAS04,UK,GB
BBC200344,1,BBCFAS01,UK,GB
BBC200344,6,BBCFAS02,UK,GB
BBC200344,12,BBCFAS03,UK,GB
BBC200344,60,BBCFAS04,UK,GB
BBC200345,1,BBCFAS01,UK,GB
BBC200345,6,BBCFAS02,UK,GB
BBC200345,12,BBCFAS03,UK,GB
BBC200345,60,BBCFAS04,UK,GB
BBC200346,1,BBCBMS01,UK,GB
BBC200346,2,BBCBMS02,UK,GB
BBC200347,1,BBCBMS01,UK,GB
BBC200347,2,BBCBMS02,UK,GB
BBC200348,1,BBCAHU31,UK,GB
BBC200348,2,BBCAHU32,UK,GB
BBC200348,4,BBCAHU33,UK,GB
BBC200349,1,BBCCTV01,UK,GB
BBC200350,1,BBCCTV01,UK,GB
BBC200351,1,BBCCTV01,UK,GB
BBC200352,1,BBCCTV01,UK,GB
BBC200353,1,BBCCBU01,UK,GB
BBC200353,4,BBCCBU02,UK,GB
BBC200353,8,BBCCBU03,UK,GB
BBC200354,1,BBCLEA01,UK,GB
BBC200354,2,BBCLEA02,UK,GB
BBC200355,1,BBCMTR01,UK,GB
BBC200356,1,BBCMTR01,UK,GB
BBC200357,1,BBCMTR01,UK,GB
BBC200358,1,BBCMTR01,UK,GB
BBC200359,1,BBCMTR01,UK,GB
BBC200360,1,BBCMTR01,UK,GB
BBC200361,1,BBCMTR01,UK,GB
BBC200362,1,BBCMTR01,UK,GB
BBC200363,1,BBCMTR01,UK,GB
BBC200365,1,BBCPDB01,UK,GB
BBC200365,2,BBCPDB02,UK,GB
BBC200365,4,BBCPDB03,UK,GB
BBC200365,20,BBCPDB04,UK,GB
BBC200366,1,BBCPDB01,UK,GB
BBC200366,2,BBCPDB02,UK,GB
BBC200366,4,BBCPDB03,UK,GB
BBC200366,20,BBCPDB04,UK,GB
BBC200367,1,BBCPDB01,UK,GB
BBC200367,2,BBCPDB02,UK,GB
BBC200367,4,BBCPDB03,UK,GB
