DATALOAD,IRV_PMSEQ,,EN
PMNUM,INTERVAL,JPNUM,ORGID,SITEID
BBC138662,1,BBCCWL01,UK,GB
BBC138662,52,BBCCWL02,UK,GB
BBC138664,1,BBCFCA01,UK,GB
BBC138665,1,BBCFAS05,UK,GB
BBC138666,1,BBCHWL01,UK,GB
BBC138666,4,BBCHWL02,UK,GB
BBC138668,1,BBCINS01,UK,GB
BBC138669,1,BBCPRI01,UK,GB
BBC138670,1,BBCPAT01,UK,GB
BBC138671,1,BBCSHE01,UK,GB
BBC138672,1,BBCAHU05,UK,GB
BBC138672,3,BBCAHU06,UK,GB
BBC138672,6,BBCAHU07,UK,GB
BBC138672,12,BBCAHU08,UK,GB
BBC138676,1,BBCAHU05,UK,GB
BBC138676,3,BBCAHU06,UK,GB
BBC138676,6,BBCAHU07,UK,GB
BBC138676,12,BBCAHU08,UK,GB
BBC138680,1,BBCAHU05,UK,GB
BBC138680,3,BBCAHU06,UK,GB
BBC138680,6,BBCAHU07,UK,GB
BBC138680,12,BBCAHU08,UK,GB
BBC138684,1,BBCAHU05,UK,GB
BBC138684,3,BBCAHU06,UK,GB
BBC138684,6,BBCAHU07,UK,GB
BBC138684,12,BBCAHU08,UK,GB
BBC138688,1,BBCAHU05,UK,GB
BBC138688,3,BBCAHU06,UK,GB
BBC138688,6,BBCAHU07,UK,GB
BBC138688,12,BBCAHU08,UK,GB
BBC138692,1,BBCAHU05,UK,GB
BBC138692,3,BBCAHU06,UK,GB
BBC138692,6,BBCAHU07,UK,GB
BBC138692,12,BBCAHU08,UK,GB
BBC138696,1,BBCAHU05,UK,GB
BBC138696,3,BBCAHU06,UK,GB
BBC138696,6,BBCAHU07,UK,GB
BBC138696,12,BBCAHU08,UK,GB
BBC138700,1,BBCFSV01,UK,GB
BBC138700,4,BBCFSV02,UK,GB
BBC138702,1,BBCFAS01,UK,GB
BBC138702,6,BBCFAS02,UK,GB
BBC138702,12,BBCFAS03,UK,GB
BBC138702,56,BBCFAS04,UK,GB
BBC138706,1,BBCFAS01,UK,GB
BBC138706,6,BBCFAS02,UK,GB
BBC138706,12,BBCFAS03,UK,GB
BBC138706,56,BBCFAS04,UK,GB
BBC138710,1,BBCFAS01,UK,GB
BBC138710,6,BBCFAS02,UK,GB
BBC138710,12,BBCFAS03,UK,GB
BBC138710,56,BBCFAS04,UK,GB
BBC138714,1,BBCBMS01,UK,GB
BBC138714,2,BBCBMS02,UK,GB
BBC138716,1,BBCBMS01,UK,GB
BBC138716,2,BBCBMS02,UK,GB
BBC138718,1,BBCBMS01,UK,GB
BBC138718,2,BBCBMS02,UK,GB
BBC138720,1,BBCBMS01,UK,GB
BBC138720,2,BBCBMS02,UK,GB
BBC138722,1,BBCBMS01,UK,GB
BBC138722,2,BBCBMS02,UK,GB
BBC138724,1,BBCBMS01,UK,GB
BBC138724,2,BBCBMS02,UK,GB
BBC138726,1,BBCCTV01,UK,GB
BBC138727,1,BBCDGS01,UK,GB
BBC138727,2,BBCDGS02,UK,GB
BBC138729,1,BBCPDB01,UK,GB
BBC138729,6,BBCPDB02,UK,GB
BBC138729,12,BBCPDB03,UK,GB
BBC138729,56,BBCPDB04,UK,GB
BBC138733,1,BBCPDB01,UK,GB
BBC138733,2,BBCPDB02,UK,GB
BBC138733,4,BBCPDB03,UK,GB
BBC138733,20,BBCPDB04,UK,GB
BBC138737,1,BBCPDB01,UK,GB
BBC138737,2,BBCPDB02,UK,GB
BBC138737,4,BBCPDB03,UK,GB
BBC138737,20,BBCPDB04,UK,GB
BBC138741,1,BBCPDB01,UK,GB
BBC138741,2,BBCPDB02,UK,GB
BBC138741,4,BBCPDB03,UK,GB
BBC138741,20,BBCPDB04,UK,GB
BBC138745,1,BBCPDB01,UK,GB
BBC138745,2,BBCPDB02,UK,GB
BBC138745,4,BBCPDB03,UK,GB
BBC138745,20,BBCPDB04,UK,GB
BBC138749,1,BBCPDB01,UK,GB
BBC138749,2,BBCPDB02,UK,GB
BBC138749,4,BBCPDB03,UK,GB
BBC138749,20,BBCPDB04,UK,GB
BBC138753,1,BBCPDB01,UK,GB
BBC138753,2,BBCPDB02,UK,GB
BBC138753,4,BBCPDB03,UK,GB
