LOCATION,CLASSSTRUCTUREID,PLUSPCUSTOMER,ORGID,SITEID
1000000,22350,BBC,UK,GB
1000077,22350,BBC,UK,GB
1000078,22350,BBC,UK,GB
1000079,22350,BBC,UK,GB
1000080,22350,BBC,UK,GB
1000081,22350,BBC,UK,GB
1000082,22350,BBC,UK,GB
1000083,22350,BBC,UK,GB
1000084,22350,BBC,UK,GB
1000085,22350,BBC,UK,GB
1000086,22350,BBC,UK,GB
1000087,22350,BBC,UK,GB
1000088,22350,BBC,UK,GB
1000089,22350,BBC,UK,GB
1000090,22350,BBC,UK,GB
1000091,22350,BBC,UK,GB
1000092,22350,BBC,UK,GB
1000093,22350,BBC,UK,GB
1000094,22350,BBC,UK,GB
1000095,22350,BBC,UK,GB
1000096,22350,BBC,UK,GB
1000097,22350,BBC,UK,GB
1000098,22350,BBC,UK,GB
1000099,22350,BBC,UK,GB
1000100,22350,BBC,UK,GB
1000101,22350,BBC,UK,GB
1000102,22350,BBC,UK,GB
1000103,22350,BBC,UK,GB
1000104,22350,BBC,UK,GB
1000105,22350,BBC,UK,GB
1000106,22350,BBC,UK,GB
1000107,22350,BBC,UK,GB
1000108,22350,BBC,UK,GB
1000109,22350,BBC,UK,GB
1000110,22350,BBC,UK,GB
1000111,22350,BBC,UK,GB
1000112,22350,BBC,UK,GB
1000113,22350,BBC,UK,GB
1000114,22350,BBC,UK,GB
1000115,22350,BBC,UK,GB
1000116,22350,BBC,UK,GB
1000117,22350,BBC,UK,GB
1000118,22350,BBC,UK,GB
1000119,22350,BBC,UK,GB
1000120,22350,BBC,UK,GB
1000121,22350,BBC,UK,GB
1000122,22350,BBC,UK,GB
1000123,22350,BBC,UK,GB
1000124,22350,BBC,UK,GB
1000125,22350,BBC,UK,GB
1000126,22350,BBC,UK,GB
1000127,22350,BBC,UK,GB
1000128,22350,BBC,UK,GB
1000129,22350,BBC,UK,GB
1000130,22350,BBC,UK,GB
1000131,22350,BBC,UK,GB
1000132,22350,BBC,UK,GB
1000133,22350,BBC,UK,GB
1000134,22350,BBC,UK,GB
1000135,22350,BBC,UK,GB
1000136,22350,BBC,UK,GB
1000137,22350,BBC,UK,GB
1000138,22350,BBC,UK,GB
1000139,22350,BBC,UK,GB
1000140,22350,BBC,UK,GB
1000141,22350,BBC,UK,GB
1000142,22350,BBC,UK,GB
1000143,22350,BBC,UK,GB
1000144,22350,BBC,UK,GB
1000145,22350,BBC,UK,GB
1000146,22350,BBC,UK,GB
1000147,22350,BBC,UK,GB
1000148,22350,BBC,UK,GB
1000149,22350,BBC,UK,GB
1000150,22350,BBC,UK,GB
1000151,22350,BBC,UK,GB
1000152,22350,BBC,UK,GB
1000153,22350,BBC,UK,GB
1000154,22350,BBC,UK,GB
1000155,22350,BBC,UK,GB
1000156,22350,BBC,UK,GB
1000157,22350,BBC,UK,GB
1000158,22350,BBC,UK,GB
1000159,22350,BBC,UK,GB
1000160,22350,BBC,UK,GB
1000161,22350,BBC,UK,GB
1000162,22350,BBC,UK,GB
1000163,22350,BBC,UK,GB
1000164,22350,BBC,UK,GB
1000165,22350,BBC,UK,GB
1000166,22350,BBC,UK,GB
1000167,22350,BBC,UK,GB
1000168,22350,BBC,UK,GB
1000169,22350,BBC,UK,GB
1000170,22350,BBC,UK,GB
1000171,22350,BBC,UK,GB
1000172,22350,BBC,UK,GB
1000173,22350,BBC,UK,GB
1000174,22350,BBC,UK,GB
1000175,22350,BBC,UK,GB
1000176,22350,BBC,UK,GB
1000177,22350,BBC,UK,GB
1000178,22350,BBC,UK,GB
1000179,22350,BBC,UK,GB
