LOCATION,ASSETATTRID,ALNVALUE,CLASSSTRUCTUREID,PLUSPCUSTOMER,ORGID,SITEID,CLASSSTRUCTUREID,ORGID,SECTION
1000189,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1000189,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1000189,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1000189,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1003558,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003558,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1003558,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1003558,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007220,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007220,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007220,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007220,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007221,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007221,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007221,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007221,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007222,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007222,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007222,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007222,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007223,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007223,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007223,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007223,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007224,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007224,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007224,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007224,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007225,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007225,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007225,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007225,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007226,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007226,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007226,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007226,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007227,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007227,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007227,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007227,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007228,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007228,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007228,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007228,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007229,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007229,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007229,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007229,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007230,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007230,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007230,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007230,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007231,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007231,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007231,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007231,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007232,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007232,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007232,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007232,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007233,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007233,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007233,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007233,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007234,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007234,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007234,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007234,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007235,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007235,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007235,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007235,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007236,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007236,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007236,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007236,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007237,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
