LOCATION,ASSETATTRID,ALNVALUE,CLASSSTRUCTUREID,PLUSPCUSTOMER,ORGID,SITEID,CLASSSTRUCTUREID,ORGID,SECTION
1000329,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000329,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000329,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000330,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000330,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000330,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000331,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000331,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000331,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000332,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000332,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000332,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000333,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000333,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000333,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000334,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000334,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000334,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000335,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000335,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000335,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000336,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000336,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000336,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000337,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000337,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000337,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000338,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000338,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000338,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000339,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000339,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000339,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000340,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000340,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000340,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000341,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000341,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000341,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000342,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000342,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000342,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000343,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000343,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000343,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000344,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000344,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000344,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1000345,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000345,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000345,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
