DATALOAD,IRV_MXCHRTOFACCTS,,EN
ACCOUNTNAME,ACTIVE,ACTIVEDATE,CHARTOFACCOUNTSID,EXPIREDATE,EXTERNALREFID,GLACCOUNT,GLCOMP01,GLCOMP02,GLCOMP03,ORGID,OWNERSYSID,SENDERSYSID
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWLV-24920,BBC026P,MESWLV,24920,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWLV-25250,BBC026P,MESWLV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWLV-25280,BBC026P,MESWLV,25280,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-20000,BBC026P,MESWXV,20000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-20010,BBC026P,MESWXV,20010,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21000,BBC026P,MESWXV,21000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21100,BBC026P,MESWXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21300,BBC026P,MESWXV,21300,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21310,BBC026P,MESWXV,21310,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21320,BBC026P,MESWXV,21320,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21330,BBC026P,MESWXV,21330,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21340,BBC026P,MESWXV,21340,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21350,BBC026P,MESWXV,21350,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21360,BBC026P,MESWXV,21360,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21370,BBC026P,MESWXV,21370,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21380,BBC026P,MESWXV,21380,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21390,BBC026P,MESWXV,21390,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21400,BBC026P,MESWXV,21400,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21500,BBC026P,MESWXV,21500,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21510,BBC026P,MESWXV,21510,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21550,BBC026P,MESWXV,21550,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC026P-MESWXV-21560,BBC026P,MESWXV,21560,UK,,
