DATALOAD,IRV_MXCHRTOFACCTS,,EN
ACCOUNTNAME,ACTIVE,ACTIVEDATE,CHARTOFACCOUNTSID,EXPIREDATE,EXTERNALREFID,GLACCOUNT,GLCOMP01,GLCOMP02,GLCOMP03,ORGID,OWNERSYSID,SENDERSYSID
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-22840,BBC094,BFSWXV,22840,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-23000,BBC094,BFSWXV,23000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-23040,BBC094,BFSWXV,23040,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-23100,BBC094,BFSWXV,23100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-23110,BBC094,BFSWXV,23110,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-23120,BBC094,BFSWXV,23120,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-23260,BBC094,BFSWXV,23260,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-23800,BBC094,BFSWXV,23800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-23810,BBC094,BFSWXV,23810,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-23820,BBC094,BFSWXV,23820,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-24870,BBC094,BFSWXV,24870,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-24920,BBC094,BFSWXV,24920,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-25250,BBC094,BFSWXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-BFSWXV-25280,BBC094,BFSWXV,25280,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-CLCCXF-21100,BBC094,CLCCXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-CLCCXF-25250,BBC094,CLCCXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-CLCCXV-21100,BBC094,CLCCXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-CLCCXV-25250,BBC094,CLCCXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-CLSPXF-21100,BBC094,CLSPXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-CLSPXF-25250,BBC094,CLSPXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-CLSPXV-21100,BBC094,CLSPXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-CLSPXV-25250,BBC094,CLSPXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-CLWCXF-21100,BBC094,CLWCXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-CLWCXF-25250,BBC094,CLWCXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-CLWCXV-21100,BBC094,CLWCXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-CLWCXV-25250,BBC094,CLWCXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-COPMXF-21100,BBC094,COPMXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-COPMXF-25250,BBC094,COPMXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-COPMXV-21100,BBC094,COPMXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-COPMXV-25250,BBC094,COPMXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-ENXXXF-21100,BBC094,ENXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-ENXXXF-25250,BBC094,ENXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-ENXXXV-21100,BBC094,ENXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-ENXXXV-25250,BBC094,ENXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-GRXXXF-21100,BBC094,GRXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-GRXXXF-25250,BBC094,GRXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-GRXXXV-21100,BBC094,GRXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-GRXXXV-25250,BBC094,GRXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-HDXXXF-21100,BBC094,HDXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-HDXXXF-25250,BBC094,HDXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MEPMLF-21100,BBC094,MEPMLF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MEPMLF-25250,BBC094,MEPMLF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MEPMXF-21100,BBC094,MEPMXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MEPMXF-25250,BBC094,MEPMXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MERWLF-21100,BBC094,MERWLF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MERWLF-25250,BBC094,MERWLF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MERWLV-21100,BBC094,MERWLV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MERWLV-25250,BBC094,MERWLV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MERWXF-21100,BBC094,MERWXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MERWXF-25250,BBC094,MERWXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MERWXV-21100,BBC094,MERWXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MERWXV-25250,BBC094,MERWXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-20000,BBC094,MESWLV,20000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-20010,BBC094,MESWLV,20010,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21000,BBC094,MESWLV,21000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21100,BBC094,MESWLV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21260,BBC094,MESWLV,21260,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21300,BBC094,MESWLV,21300,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21310,BBC094,MESWLV,21310,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21320,BBC094,MESWLV,21320,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21330,BBC094,MESWLV,21330,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21350,BBC094,MESWLV,21350,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21370,BBC094,MESWLV,21370,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21380,BBC094,MESWLV,21380,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21390,BBC094,MESWLV,21390,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21400,BBC094,MESWLV,21400,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21570,BBC094,MESWLV,21570,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21700,BBC094,MESWLV,21700,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-21710,BBC094,MESWLV,21710,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-22130,BBC094,MESWLV,22130,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-22140,BBC094,MESWLV,22140,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-22150,BBC094,MESWLV,22150,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-22175,BBC094,MESWLV,22175,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-22800,BBC094,MESWLV,22800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-23100,BBC094,MESWLV,23100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC094-MESWLV-23110,BBC094,MESWLV,23110,UK,,
