PERSONGROUP,IRV_APPRLIMIT,IRV_POTYPE,IRV_OUTOFHOURS
HAREA05,500,REACTIVE,0
HAREA1,1000,REACTIVE,1
HAREA5,5000,REACTIVE,1
HAREA10,10000,REACTIVE,1
HAREA50,50000,REACTIVE,1
HAREA100,100000,REACTIVE,1
HANOLIM,1000000000,,1
HAEST5,5000,PROJECT,1
HAEST10,10000,PROJECT,1
HAEST50,50000,PROJECT,1
HAEST100,100000,PROJECT,1
HAOTH10,10000,OTHER,1
HAOTH50,50000,OTHER,1
HAOTH100,100000,OTHER,1
HACAT1,1000,CATERING,1
HACAT25,25000,CATERING,1
HACAT50,50000,CATERING,1
HACAT100,100000,CATERING,1
HAAGY1,1000,AGENCY,1
HAAGY10,25000,AGENCY,1
HAAGY50,50000,AGENCY,1
HAAGY100,100000,AGENCY,1
HAPPM25,25000,PPM,1
HAPPM50,50000,PPM,1
HAPPM100,100000,PPM,1
HASCH5,5000,SCHEDULED,1
HASCH10,10000,SCHEDULED,1
HASCH25,25000,SCHEDULED,1
HASCH50,50000,SCHEDULED,1
HASCH100,100000,SCHEDULED,1
